id,obuphone,vehicleid,can_param,can_val,can_time,can_id,can_hexval,createddate,can_val_status,alaramid,reqresid,serialno
1849000549,5251230211,37699,Precharge_alarm,0,01/03/2023 0:59,18F205F3,5800,03/01/2023 1:00,,e908edbe-4be3-3128-80e9-001d38b08e34,140187254,119
1849000548,5251230189,37687,MCU_status,11,01/03/2023 0:59,18F501F0,4e4b1202ff250000,03/01/2023 1:00,,f94cc7ad-be1b-4068-6163-3c37e5895f19,140187082,266
1849000547,5251313822,37654,BMS_Comm_failure,0,01/03/2023 0:57,18F205F3,4000,03/01/2023 1:00,,d37f1706-0d55-a180-0820-f03b6ed81bd8,140187246,1d3d
1849000546,5251230225,37700,Handbrake_status,1,01/03/2023 0:59,18F40117,78229c00000000c5,03/01/2023 1:00,,3a5cf91a-5321-22fb-3810-2897e6ffeaf5,140187251,405
1849000545,5250928160,37659,SOC_difference_alarm,0,01/03/2023 0:59,18F205F3,4000,03/01/2023 1:00,No Failure,efeb1816-379f-b085-d4ad-f79ae6e6a246,140187223,12a5
1849000544,5251200273,37681,DCDC_real_time_output_current,26.5,01/03/2023 0:59,0CF602A1,0135376b000f02a3,03/01/2023 1:00,,c4b92da8-6cd8-410e-68ec-5fe25c99c253,140187262,15c0
1849000543,5250928148,37669,STOP_status,1,01/03/2023 0:57,18F40117,8a28d0baba0b00c5,03/01/2023 1:00,,8558bf68-c6a5-bfbf-c217-5884f6653595,140187203,1b1e
1849000542,5250928165,37653,SOC low alarm,0,01/03/2023 0:58,18F214F3,0,03/01/2023 1:00,No Failure,27282b61-9bac-61c6-70db-583099e24540,140187198,0b23
1849000541,5250928166,37671,drive motor output torque,-1866,01/03/2023 0:57,18F502F0,b3086d07c503b67b,03/01/2023 1:00,,49261488-ae3f-6440-d959-caa202c3dd88,140187097,2.00E+05
1849000540,5251313831,37637,DCDC_life_signal,131,01/03/2023 0:59,0CF602A1,0143375e000f0283,03/01/2023 1:00,,cbd47e73-8235-3323-dd41-fcd7e52f1b9b,140187274,03ab
1849000539,5250928150,37667,Handbrake_status,1,01/03/2023 0:57,18F40117,8a2890a8a80a00e5,03/01/2023 1:00,,fb34f17d-68f5-9a3b-fb36-92bf3b839ffa,140187179,164a
1849000538,5250928144,37675,Bat_failure_status,1,01/03/2023 0:58,18F205F3,4000,03/01/2023 1:00,,336745b3-f727-27b4-bf20-9164bd8f7084,140187242,0f1b
1849000537,5200604719,37694,Discharging_current_alarm,0,01/03/2023 0:58,18F205F3,2.20E+12,03/01/2023 1:00,No Failure,b2bcb049-6c97-677c-7f03-2234452abc6b,140187221,449
1849000536,5202843543,37673,Bat_overcharge_alarm,0,01/03/2023 0:58,18F205F3,4000,03/01/2023 1:00,No Failure,1eb6a68b-05ab-992b-ee50-e2ede84af731,140187209,0b3f
1849000535,5251200260,37685,MCU_temp_alarm,0,01/03/2023 0:58,18F501F0,5a561202ff250000,03/01/2023 1:00,,5cc87891-b48d-4035-6ec3-9952e5638d47,140187119,06cf
